---------------------------- PROCESS STARTED (31142) for package com.example.bottleneckreader ----------------------------
2026-06-12 12:14:52.261 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  timestampNs,detected,s0,s1,s2,s3,s4,event
2026-06-12 12:14:52.261 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111896829639957,0,,,,,,
2026-06-12 12:14:52.293 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111896896290999,0,,,,,,
2026-06-12 12:14:52.317 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111896929616624,0,,,,,,
2026-06-12 12:14:52.347 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111896962942041,0,,,,,,
2026-06-12 12:14:52.378 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111896996267457,0,,,,,,
2026-06-12 12:14:52.419 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111897029593082,0,,,,,,
2026-06-12 12:14:52.448 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111897062918499,0,,,,,,
2026-06-12 12:14:52.488 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111897096244124,0,,,,,,
2026-06-12 12:14:52.518 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111897129569541,0,,,,,,
2026-06-12 12:14:52.547 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111897162894957,0,,,,,,
2026-06-12 12:14:52.578 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111897196220582,0,,,,,,
2026-06-12 12:14:52.620 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111897229545999,0,,,,,,
2026-06-12 12:14:52.651 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111897262871624,0,,,,,,
2026-06-12 12:14:52.679 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111897296197041,0,,,,,,
2026-06-12 12:14:52.721 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111897329522457,0,,,,,,
2026-06-12 12:14:52.750 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111897362848082,0,,,,,,
2026-06-12 12:14:52.784 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111897396173499,0,,,,,,
2026-06-12 12:14:52.821 31142-31301 LedScoresCsv            com.example.bottleneckreader         D  111897429499124,0,,,,,,
